Event_ID,Event_Path,Event_Type,,Event_ID,Parameter_ID,Parameter_Name,Min,Max
5003,snapshot:/SfxVolumeControl,Snapshot,,,,,,
5004,snapshot:/Letterbox,Snapshot,,,,,,
5005,event:/UI/Btn,SFX,,,,,,
5006,event:/UI/SystemVoice,SFX,,,,,,
5007,event:/UI/SystemText_Large,SFX,,,,,,
6001,event:/SFX/CutScene/00_Explosion_Large,SFX,,,,,,
6002,event:/SFX/CutScene/00_Explosion_Medium,SFX,,,,,,
6003,event:/SFX/CutScene/01_BreakTheClass,SFX,,,,,,
6004,event:/SFX/CutScene/03_FreeYakisobaPan,SFX,,,,,,
6005,event:/SFX/CutScene/03_YakisobaGirlVoice,SFX,,,,,,
6006,event:/SFX/CutScene/03_EnemyReaction,SFX,,,,,,
6007,event:/SFX/CutScene/04_ExpandTheZone,SFX,,,,,,
8001,event:/Amb/Zone,Amb,,,,,,
8002,event:/Amb/Sky,Amb,,,,,,
8003,event:/Amb/Rain,Amb,,,,,,
8004,event:/Amb/01_School_Class,Amb,,,,,,
8005,event:/Amb/01_School_Corridor,Amb,,,,,,
8006,event:/Amb/01_School_Ground,Amb,,,,,,
9001,event:/BGM/Battle_EZ,BGM,,,,,,
9002,event:/BGM/Title/Intro,BGM,,,,,,
9003,event:/BGM/Title/Main,BGM,,,,,,
9004,event:/BGM/School/1,BGM,,,,,,
9005,event:/BGM/School/Boss,BGM,,,,,,
9006,event:/BGM/School/2,BGM,,,,,,
9007,event:/BGM/School/BossKill,BGM,,,,,,
5008,snapshot:/BossReverbCut,Snapshot,,,,,,
